No,WELL NAME,ABBREVIATION,UWI,BLOCK #,WELL TYPE,LATITUDE,LONGITUDE,NORTHING,EASTING,MSL,CONTROL PT,DATE,SURVEYOR,OPERATOR,PAS,Remark,GISUPDATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,EL NAR NORTH-1,,S01-024b-13-688-01,UNITY 1a EA,,9484791N  ,29314820E   ,1085816.312,777525.184,396.589,688-002,"Jan30,02",Mirghani,,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,FARAS EAST-1,,S01-060a-18-687-01,UNITY 1a EA,,9472520N  ,29293904E,1083244.309,773606.048,396.104,688-002,"Jan30,02",Mirghani,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,KERIAL EAST-1,,S01-066b-03-711-01,UNITY 1a EA,,9264665N ,29424549E,1045351.400,797888.381,391.123,RR-G56,"Feb09,02",Mirghani,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,Talih 4,,S01-058d-32-688-01,UNITY 1b DA,,9321433N ,29384946E,1055369.777,790606.607,392.411,RR-G56,"Feb09,02",,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,MUNGA SOUTH-8,,S01-091d-36-688-01,UNITY 1a EA,,9300137N,29552527E,1051526.480,821032.840,390.737,688-005,"Feb17,02",Mirghani,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,MUNGA SOUTH-9,,S01-081c-36-688-01,UNITY 1a EA,,9303896N,29550753E,1052677.716,820481.530,390.870,688-005,"Feb17,02",,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,DIFFRA WEST-1,,S01-049c-35-662-01,KAIKANG 4 EA,,10023503N,28241051E,1110502.152,653747.946,404.066,662-004,"June21,02",Ren,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,Tafab 1,,S01-045b-18-663-01,HEGLIG 2a EA,,10175890N,28572973E,1139203.486,714456.215,401.552,664-002,"Mar01,02",Ren,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,UMM SAGURA SOUTH-2,,S01-025b-35-688-01,UNITY 1a EA,,9335543N,29521582E,1058674.969,815190.032,391.474,688-005,"Feb17,02",Mirghani,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,BAMBOO-10,,S01-068d-17-664-01,HEGLIG 2a EA,,10163882N,29235604E,1137070.436,762754.927,405.668,664-003,"Jan20,02",Mirghani,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,UNITY-64,,S01-081a-03-711-01,UNITY 1b DA,,9254907N,29400966E,1043544.790,793144.874,391.047,RR-G56,"Jun11,02",Mirghani,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,WIZEEN WEST-1,,S01-070c-07-688-01,UNITY 1a EA,,      09513258N,   29343931E,1090918.276,782703.198,397.090,    688-02,"July14,02",Mirghani,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,BAMBOO SOUTH-3,,S01-014c-23-664-01,HEGLIG 2a EA,,10141345N,29213455E,1132570.186,758480.408,404.732,664-003,"Jan20,02",Mirghani,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,BAMBOO WEST-20,,S01-054c-17-664-01,HEGLIG 2a EA,,10170849N,29213452E,1137950.568,758439.975,406.602,664-003,"Jan20,02",Mirghani,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,BAMBOO WEST-21,,S01-085a-17-664-01,HEGLIG 2a EA,,10155082N,29220890E,1135570.657,759504.197,405.038,664-003,"Jan20,02",Mirghani,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,BAMBOO WEST-19,,S01-065a-13-664-01,HEGLIG 2a EA,,10165526N,292 1301E ,1137538.966,757788.372,405.597,664-003,"Jan20,02",Mirghani,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,NIMIR-2,,S01-010c-17-664-01,HEGLIG 2a EA,,10193402N,29244227E,1142466.419,764121.632,407.123,664-003,"AUG19,02",Ren,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,EL TOOR SOUTH-1,,S01-051a-17-688-01,UNITY 1a EA,,9472207N,29500533E,1083443.868,811001.328,397.414,688-003,"July17,02",Mirghani,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,HEGLIG-25,,S01-088b-35-664-01,HEGLIG 2b DA,,10005304N,29235901E,1107999.924,763060.036,400.075,BAS-001,"Aug30,02",Ren,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,DIFFRA WEST-2,,S01-039d-35-662-01,KAIKANG 4 EA,,10031002N,28242737E,1111579.250,654256.546,404.571, 662-004,"June21,02",Ren,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,DIFFRA 1,,S01-014a-36-662-01,KAIKANG 4 EA,,10042985N  ,28263481E   ,1114048.740,658126.178,405.084, 662-004,"July16,02",Mirghani,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,TALIH EAST-1,,S01-051c-33-688-01,UNITY 1b DA,,9320441N,29400324E,1055082.131,792860.397,391.552,RR-G56,"July 18,02",Mirghani,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,TALIH SOUTH-1,,S01-090c-32-688-01,UNITY 1b DA,,09303485N,29393240E,1052321.642,791940.559,391.825,RR-G56,"Aug 05,02",Mirghani,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,HAMAM-1,,S01-067b-35-662-01,KAIKANG 4 EA,,10015191N,28231779E,1109170.483,652148.444,403.663,662-004,"Aug30,02",Ren,,,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,EL SAQR NORTH-2,,S01-087d-13-688-01,UNITY 1a EA,,09453919N,29331508E,1080034.925,780217.950,395.043,688-002,"July 25,02",Mirghani,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,SIMBIR WEST-1,,S01-041c-12-687-01,HEGLIG 2a EA,,09524070N,29250069E,1092880.293,765049.506,396.977,687-002,"Set.3,2002",Ren,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,TALIH EAST-5,,S01-050a-32-688-01,UNITY 1b DA,,09325734N,29393988E,1056703.962,792134.880,392.102,RR-G56,"Sep21,2002",Faisal,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,UNITY-65,,S01-081d-03-711-01,UNITY 1b DA,,09253061N,29401600E,1042978.725,793343.064,391.372,RR-G56,"Oct09,2002",Ren,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,UNITY SOUTH-1,,S01-064a-09-711-01,UNITY 1a EA,,09215063N,29413282E,1036233.813,795739.882,391.482,RR-G56,"Nov30,2002",Faisal,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,ZARZOOR-1        ,,S01-099a-16-664-01,HEGLIG 2a EA,,10152680N  ,29190669E   ,1134792.228,753962.772,405.034,664-003,"Dec27,2002",Osama,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,HARAZ-1,,S01-050a-31-638-01,KAIKANG 4 EA,,10324586N  ,28044163E   ,1165992.366,617973.176,421.957,638-002,"JAN23,2003",,,,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,TALIH EAST-6,,S01-018d-32-688-01,UNITY 1b DA,,09340824N ,29384615E,1058870.958,790478.809,391.992,RR-G56,"Feb02,03",Osama,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,BALOME-1,,S01-024b-07-686-01,KAIKANG 4 EA,,09535226N,28314990E,1094503.920,667809.885,400.272,662-004,"March23,03",Faisal,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,NEEM-1,,S01-028a-07-639-01,KAIKANG 4 EA,,10535520N ,28333758E ,1205214.207,670546.160,515.015,639-002,"APR01,03",Faisal,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,UMBARIERA-2,,S01-092c-19-689-01,UNITY 1a EA,,09400718N,30004473E,1070239.752,830621.842,393.731,668-006,"JULY03,03",Faisal,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,HEGLIG-27,,S01-089c-35-664-01,HEGLIG 2b DA,,10003984N,29240764E,1107596.209,763325.764,401.628,BAS-01,"JULY11,03",Faisal,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,HEGLIG-28,,S01-088a-35-664-01,HEGLIG 2b DA,,10005863N,29233448E,1108166.299,762311.223,400.129,BAS-01,"AUG08,03",Osama,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,TOMA-5,,S01-016d-06-687-01,HEGLIG 2b DA,,09591157N,29275283E ,1104933.443,770207.228,400.459,BAS-01,"AUG21,03",Faisal,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,NABAQ NORTH-1,,S01-092a-26-665-01,HEGLIG 2a EA,,10051874N,29353028E,1116327.586,784057.935,405.293,BAS-01,"AUG21,03",Faisal,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,DIFFRA-2,,S01-093a-30-662-01,KAIKANG 4 EA,,10051681N,28261210E,1115488.283,657428.332,405.416,662-004,"AUG30,03",Faisal,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,TOMA-6,,S01-006d-06-687-01,HEGLIG 2b DA,,09593580N,29274891E,1105677.200,770082.209,400.500,BAS-01,"SEPT05,03",Faisal,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,UNITY-69,,S01-032d-03-711-01,UNITY 1b DA,,09281491N,29405910E,1048039.808,794619.847,391.541,RR-G56,"SEPT07,03",Faisal,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,TALIH EAST-8,TE-8,S01-050d-32-688-01,UNITY 1b DA,,9323005N,29395055E,1055867.563,792467.245,392.980,RR-G56,"NOV17,03",ISAM,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,JAMOUSE NORTH-1,JN-1,S01-029c-19-665-01,HEGLIG 2a EA,,10133345N,29340401E ,1131515.036,781309.578,410.422,BAS-01,"NOV25,03",ISAM,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,TALIH EAST-7,TE07,S01-029c-32-688-01,UNITY 1b DA,,9333329N,29390864E,1057801.826,791173.247,392.975,RR-G56,"DEC.04,03",ISAM,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,DIFFRA WEST-3,,S01-047d-35-662-01,KAIKANG 4 EA,,10023278N,28232991E,1110427.753,652512.127,403.734,662-004,"DEC.22,03",Ren,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,EL HAR-4,,S01-100d-19-688-01,UNITY 1a EA,,              09400177N  ,29344792E   ,1069683.710,783127.928,394.411,688-002,"Dec27,03",Faisal,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,BALOME WEST-1,,S01-042b-07-686-01,KAIKANG 4 EA,,09524575N,28304522E,1092451.468,665848.828,400.100,662-004,"JAN20,04",Faisal,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,HEGLIG-31,,S01-019a-05-687-01,HEGLIG 2b DA,,09592801N,29240126E,1105386.677,763147.664,400.088,BAS-01,"FEB20,04",Ren,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,HAMAM-2,,S01-057a-35-662-01,KAIKANG 4 EA,,10021714N  ,28231362E,1109945.294,652018.146,404.033,662-004,"MARCH02,04",Faisal,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,WEST UNITY-2,,S01-006c-02-711-01,UNITY 1a EA,,09293017N  ,29374205E ,1050307.468,788587.757,391.946,RR-G56,"MARCH03,04",Faisal,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,WEST UNITY-3,,S01-096a-32-688-01,UNITY 1a EA,,09301788N  ,29373600E   ,1051772.842,788391.953,391.606,RR-G56,"MARCH03,04",Faisal,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,TALIH WEST-4,,S01-075b-32-688-01,UNITY 1a EA,,09312407N  ,29372676E   ,1053805.494,788094.585,392.133,RR-G56,"MARCH03,04",Faisal,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,TALIH WEST-5,,S01-086a-32-688-01,UNITY 1a EA,,09305248N  ,29374439E   ,1052838.395,788640.106,391.709,RR-G56,"MARCH03,04",Faisal,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,TALIH EAST-3 ,,S01-021d-33-688-01,UNITY 1b DA,,09334038N,29402809E ,1058038.621,793595.835,391.941,RR-G56,"May11,04",Faisal,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,TALIH EAST-9,,S01-061a-33-688-01,UNITY 1b DA,,09314768N,29401220E,1054569.899,793137.941,391.934,RR-G56,"May11,04",Faisal,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,TALIH-6 ,,S01-069a-32-688-01,UNITY 1b DA,,09314761N  ,29390389E  ,1054551.834,791053.171,391.437,RR-G56,"May11,04",Faisal,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,UNITY-60 ,,S01-042b-03-711-01,UNITY 1b DA,,09274915N , 29404850E,1047245.280,794302.187,391.371,RR-G56,"May11,04",Faisal,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,UNITY-61,,S01-042a-03-711-01,UNITY 1b DA,,09275867N,29404484E,1047537.220,794188.196,391.342,RR-G56,"May11,04",Faisal,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,TALIH EAST-2  ,,S01-059d-32-688-01,UNITY 1b DA,,09320959N,29392692E,1055232.807,791750.782,392.090,RR-G56,"May11,04",Faisal,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,HEGLIG-30,,S01-019c-05-687-01,HEGLIG 2b DA,,09590657N,29240763E   ,1104729.093,763346.311,399.984,BAS-01,"APR23,04",Faisal,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,GARAAD WEST-1,,S01-040c-03-687-01,HEGLIG 2a EA,, 09580634N,29143482E ,1102755.316,745906.450,396.982,BAS-01,"MAY25,04",Osama,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,TALIH-5,,S01-049a-32-688-01,UNITY 1b DA,,09325072N,29390465E,1056492.261,791061.566,392.364,RR-G56,"MAY27,04",Osama,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,UNITY-70,,S01-043a-03-711-01,UNITY 1b DA,,09275658N , 29410868E,1047478.784,794916.548,391.017,RR-G56,"MAY30,04",Osama,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,NABAQ EAST-2,,S01-044d-32-665-01,HEGLIG 2a EA,,10024408N ,29365792E,1111594.399,786765.641,403.526,BAS-01,"JUNE03,04",Osama,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,TOMA SOUTH-11,,S01-008b-13-688-01,UNITY 1a EA,,09494871N,29334960E,1087713.230,781212.300,396.779,688-002,"JUNE07,04",Osama,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,TOMA SOUTH-12,,S01-019a-13-688-01,UNITY 1a EA,,09492220N,29341138E,1086903.420,781882.480,396.664,688-002,"JUNE07,04",Osama,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,MUNGA 7,,S01-013c-36-688-01,UNITY 1a EA,,09340288N,  29561197E ,1058964.843,822395.318,391.496,688-006,"june25,04",Faisal,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,MUNGA 8,,S01-024a-36-688-01,UNITY 1a EA,,09334555N,            29563828E   ,1058438.920,823202.887,391.574,688-006,"june25,04",Faisal,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,BAMBOO WEST-22,,S01-064c-17-664-01,HEGLIG 2a EA,,10164245N,29213664E,1137150.520,758510.640,406.019,664-003,"JUNE08,04",Osama,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,TALIH SOUTH-3,,S01-079d-32-688-01,UNITY 1b DA,,09310551N,29392295E ,1053261.861,791644.974,391.303,RR-G56,"JUNE10,04",Osama,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,UNITY-59,,S01-042c-03-711-01,UNITY 1b DA,,09273216N,29403519E,1046719.890,793899.960,391.165,RR-G56,"JUNE10,04",Osama,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,TALIH EAST-4,,S01-032b-33-688-01,UNITY 1b DA,,09332444N,29405012E,1057553.590,794272.070,391.974,RR-G56,"JUNE10,04",Osama,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,EL NAR-6,,S01-082c-14-688-01,UNITY 1a EA,,09454153N,29354201E,1080141.022,784698.054,395.576,688-002,"JUNE20,04",Faisal,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,EL NAR-7,,S01-072c-14-688-01,UNITY 1a EA,, 09460363N, 29354292E,1080820.539,784720.391,395.419,688-002,"JUNE20,04",Faisal,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,TOMA SOUTH-13,,S01-097d-07-688-01,UNITY 1a EA,,9500646N,29332323E,1088252.752,780403.840,396.812,688-002,"JUNE20,04",Faisal,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,UM BAREIRA-3,,S01-021c-25-689-01,UNITY 1a EA,,09384434N,30000413E,1067681.368,829405.471,393.710,688-006,"JULY01,04",Faisal,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,KHAIRAT NORTH EAST-7,,S01-026d-02-711-01,UNITY 1a EA,,09284029N ,29374558E,1048774.951,788707.207,391.206,RR-G56,"JULY01,04",Faisal,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,TALIH SOUTH-2,,S01-090a-32-688-01,UNITY 1b DA,,9304965N,29393451E ,1052776.985,792001.409,391.512,RR-G56,"JULY01,04",Faisal,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,TALIH WEST-7,,S01-077b-32-688-01,UNITY 1b DA,,09311799N, 29381657E ,1053630.209,789616.224,391.587,RR-G56,"JULY01,04",Faisal,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,TOMA SOUTHT-14,,S01-020c-13-688-01,UNITY 1a EA,,09490172N,  29343965E,1086280.569,782749.120,396.414,688-002,"JULY09,04",Faisal,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,EL NAR-8,,S01-092d-14-688-01,UNITY 1a EA,,09451089N, 29355486E ,1079202.048,785096.963,395.986,688-002,"JULY09,04",Faisal,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,UMM SAGURA S-3,,S01-035b-35-688-01,UNITY 1a EA,,09332515N,29522048E,1057744.996,815340.030,391.544,688-006,"JULY25,04",Faisal,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,UNITY-57,,S01-030c-02-711-01,UNITY 1b DA,Development,9284218N,29394135E,1048859.963,792240.159,392.079,RRG56,8/15/2004,ISAM,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,TALIH WEST-6,,S01-065b-32-688-01,UNITY 1a EA,Development,9315126N,29372488E,1054641.096,788030.890,392.138,RRG-56,9/5/2004,Ren,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,KHAIRAT NORTH EAST-8,,S01-004a-02-711-01,UNITY 1a EA,Development,9294935N,29364462E,1050883.915,786830.675,390.598,RRG-56,12/16/2004,Faisal,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,WEST UNITY-4,,S01-006a-02-711-01,UNITY 1a EA,Development,9295152N,29373581E,1050962.326,788392.524,390.320,RRG-56,12/16/2004,Faisal,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,unity-72,,S01-022b-03-711-01,UNITY 1b DA,Development,9285592N,29405616E,1049299.851,794520.232,392.513,RRG-56,12/27/2004,Faisal,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,ELBAKH-2,,S01-034b-05-687-01,HEGLIG 2b DA,Development,9582656N,29215986E,1103471.294,759462.072,399.102,BAS-01,"March13,05",Faisal,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,Heglig-41,,S01-066c-35-664-01,HEGLIG 2b DA,Development,10013914N,  29224172E,1109399.676,760695.028,400.521,BAS-01,"March13,05",Faisal,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
