No,WELL NAME,ABBREVIATION,UWI,BLOCK #,WELL TYPE,LATITUDE,LONGITUDE,NORTHING,EASTING,MSL,CONTROL PT,DATE,SURVEYOR,OPERATOR,PAS,Remark,GISUPDATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,EL NAR-3,,S01-092b-14-688-01,UNITY 1a EA,,9452537N,29354766E,1079645.470,784874.000,395.660,688-001," Mar.07,99",Mirghani,GNPOC,#VALUE!,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,EL NAR-4,,S01-082b-14-688-01,UNITY 1a EA,,9455372N,29354634E,1080516.768,784827.047,395.020,688-002," Mar.05,99",Mirghani,GNPOC,#VALUE!,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,EL NAR-5,,S01-061c-14-688-01,UNITY 1a EA,,9464335N,29351453E,1082034.990,783845.260,395.120,688-002," Mar.05,99",Mirghani,GNPOC,#VALUE!,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,EL SAQR-1,,S01-028d-19-688-01,UNITY 1a EA,,9434211N,29334518E,1076442.590,781163.160,392.340,688-001,"Oct17,1999",Mirghani,#VALUE!,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,EL TOOR-1,,S01-062a-10-688-01,UNITY 1a EA,,9515543N,29454009E,1091781.280,802842.830,399.400,688-003, 20Mar.-6April,Ren,#VALUE!,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,EL TOOR-10,,S01-053c-10-688-01,UNITY 1a EA,,9521171N,29460250E,1092287.470,803522.150,400.360,688-003, 20Mar.-6April,Ren,#VALUE!,#VALUE!,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,EL TOOR-12,,S01-051c-10-688-01,UNITY 1a EA,,9521110N,29450979E,1092255.550,801915.270,400.570,688-003, 20Mar.-6April,Ren,#VALUE!,#VALUE!,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,EL TOOR-13,,S01-041a-10-688-01,UNITY 1a EA,,9525093N,29450746E,1093479.510,801834.090,400.580,688-003, 20Mar.-6April,Ren,#VALUE!,#VALUE!,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,EL TOOR-16,,S01-030c-09-688-01,UNITY 1a EA,,9533282N,29443370E,1094759.030,800794.080,399.640,, 20Mar.-6April,,#VALUE!,#VALUE!,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,EL TOOR-2,,S01-050a-09-688-01,UNITY 1a EA,,9525314N,29443112E,1093538.400,800725.400,399.350,688-003, 20Mar.-6April,Ren,#VALUE!,#VALUE!,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,EL TOOR-3,,S01-018d-09-688-01,UNITY 1a EA,,9541440N,29435712E,1096028.050,799668.490,399.840,688-003, 20Mar.-6April,Ren,#VALUE!,#VALUE!,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,EL TOOR-4,,S01-075b-10-688-01,UNITY 1a EA,,9512321N,29471997E,1090816.100,805896.520,400.090,688-003, 20Mar.-6April,Ren,#VALUE!,#VALUE!,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,EL TOOR-5,,S01-064b-10-688-01,UNITY 1a EA,,9514701N,29465487E,1091541.450,805125.000,400.480,688-003, 20Mar.-6April,Ren,#VALUE!,#VALUE!,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,EL TOOR-6,,S01-053d-10-688-01,UNITY 1a EA,,9520392N,29462915E,1092054.680,804336.680,400.590,688-003, 20Mar.-6April,Ren,#VALUE!,#VALUE!,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,EL TOOR-8,,S01-063c-10-688-01,UNITY 1a EA,,9513816N,29460802E,1091257.440,803698.940,400.010,688-003, 20Mar.-6April,Ren,#VALUE!,#VALUE!,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,EL TOOR-9,,S01-052a-10-688-01,UNITY 1a EA,,9522411N,29453405E,1092661.730,802651.440,400.630,688-003, 20Mar.-6April,Ren,#VALUE!,#VALUE!,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,GARAAD-1,,S01-076a-34-664-01,HEGLIG 2a EA,,10012091N,29173012E,1108772.100,751206.230,398.010,SP10," Apr.22,99",Mirghani,#VALUE!,#VALUE!,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,GARAAD-2AL,,S01-066a-34-664-01,HEGLIG 2a EA,,10015910N,29174273E,1109948.390,751582.130,398.740,SP10," Apr.22,99",Mirghani,#VALUE!,#VALUE!,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,GARAAD-3,,S01-095a-34-664-01,HEGLIG 2a EA,,10001759N,29170344E,1106820.240,750406.950,398.220,SP10," Apr.22,99",Mirghani,#VALUE!,#VALUE!,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,HAMRA WEST-1,,S01-098d-05-687-01,HEGLIG 2b DA,,9550819N,29235579E,1097399.220,763038.740,398.340,BAS-001," Feb.25,99",Mirghani,#VALUE!,#VALUE!,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,HAMRA-1,,S01-091d-06-687-01,HEGLIG 2b DA,,9550945N,29252116E,1097457.060,765640.230,398.220,BAS-001," Feb.25,99",Mirghani,#VALUE!,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,HAMRA-2,,S01-100d-05-687-01,HEGLIG 2b DA,,9551202N,29245397E,1097530.040,764811.070,398.180,BAS-001," Feb.25,99",Mirghani,#VALUE!,#VALUE!,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
